product_type,size,front,back,template_sleeves,sleeveLeft,sleeveRight,template_hood,hood,dpi,unit
MINERALTSHIRT_CT1300_PET,S,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
MINERALTSHIRT_CT1300_PET,M,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
MINERALTSHIRT_CT1300_PET,L,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
MINERALTSHIRT_CT1300_PET,XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
MINERALTSHIRT_CT1300_PET,2XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
MINERALTSHIRT_CT1300_PET,3XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
RAGLAN34_BC3200_PET,XS,12x14,12x14,,,,900x600px,3x2,300,inch
RAGLAN34_BC3200_PET,S,12x14,12x14,,,,900x600px,3x2,300,inch
RAGLAN34_BC3200_PET,M,12x14,12x14,,,,900x600px,3x2,300,inch
RAGLAN34_BC3200_PET,L,12x14,12x14,,,,900x600px,3x2,300,inch
RAGLAN34_BC3200_PET,XL,12x14,12x14,,,,900x600px,3x2,300,inch
RAGLAN34_BC3200_PET,2XL,12x14,12x14,,,,900x600px,3x2,300,inch
WOMENTSHIRT_G2000L_PET,XS,10x11,10x11,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
WOMENTSHIRT_G2000L_PET,S,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
WOMENTSHIRT_G2000L_PET,M,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
WOMENTSHIRT_G2000L_PET,L,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
WOMENTSHIRT_G2000L_PET,XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
WOMENTSHIRT_G2000L_PET,2XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
WOMENTSHIRT_G2000L_PET,3XL,14x16,14x16,2280x1140px,5x6,5x6,900x600px,3x2,300,inch
WOMENTANK_NL1533_PET,XS,14x16,14x16,,,,900x600px,3x2,300,inch
WOMENTANK_NL1533_PET,S,14x16,14x16,,,,900x600px,3x2,300,inch
WOMENTANK_NL1533_PET,M,14x16,14x16,,,,900x600px,3x2,300,inch
WOMENTANK_NL1533_PET,L,14x16,14x16,,,,900x600px,3x2,300,inch
WOMENTANK_NL1533_PET,XL,14x16,14x16,,,,900x600px,3x2,300,inch
WOMENTANK_NL1533_PET,2XL,14x16,14x16,,,,900x600px,3x2,300,inch
WOMENTSHIRT_5V00L_PET,S,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
WOMENTSHIRT_5V00L_PET,M,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
WOMENTSHIRT_5V00L_PET,L,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
WOMENTSHIRT_5V00L_PET,XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
WOMENTSHIRT_5V00L_PET,2XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
TSHIRT_G8000_PET,S,14x16,14x16,,,,900x600px,3x2,300,inch
TSHIRT_G8000_PET,M,14x16,14x16,,,,900x600px,3x2,300,inch
TSHIRT_G8000_PET,L,14x16,14x16,,,,900x600px,3x2,300,inch
TSHIRT_G8000_PET,XL,14x16,14x16,,,,900x600px,3x2,300,inch
TSHIRT_G8000_PET,2XL,14x16,14x16,,,,900x600px,3x2,300,inch
TSHIRT_G8000_PET,3XL,14x16,14x16,,,,900x600px,3x2,300,inch
TSHIRT_G8000_PET,4XL,14x16,14x16,,,,900x600px,3x2,300,inch
TSHIRT_G8000_PET,5XL,14x16,14x16,,,,900x600px,3x2,300,inch
TSHIRT_G42000_PET,S,14x16,14x16,,,,900x600px,3x2,300,inch
TSHIRT_G42000_PET,M,14x16,14x16,,,,900x600px,3x2,300,inch
TSHIRT_G42000_PET,L,14x16,14x16,,,,900x600px,3x2,300,inch
TSHIRT_G42000_PET,XL,14x16,14x16,,,,900x600px,3x2,300,inch
TSHIRT_G42000_PET,2XL,14x16,14x16,,,,900x600px,3x2,300,inch
TSHIRT_G42000_PET,3XL,14x16,14x16,,,,900x600px,3x2,300,inch
YOUTHTSHIRT_C2-5200_PET,XS,7x8,7x8,,,,900x600px,3x2,300,inch
YOUTHTSHIRT_C2-5200_PET,S,8x9,8x9,,,,900x600px,3x2,300,inch
YOUTHTSHIRT_C2-5200_PET,M,9x10,9x10,,,,900x600px,3x2,300,inch
YOUTHTSHIRT_C2-5200_PET,L,10x11,10x11,,,,900x600px,3x2,300,inch
YOUTHTSHIRT_C2-5200_PET,XL,10x11,10x11,,,,900x600px,3x2,300,inch
BABYTEE_BC1010_PET,XS,10x12,10x12,,,,900x600px,3x2,300,inch
BABYTEE_BC1010_PET,S,10x12,10x12,,,,900x600px,3x2,300,inch
BABYTEE_BC1010_PET,M,10x12,10x12,,,,900x600px,3x2,300,inch
BABYTEE_BC1010_PET,L,10x12,10x12,,,,900x600px,3x2,300,inch
BABYTEE_BC1010_PET,XL,10x12,10x12,,,,900x600px,3x2,300,inch
BABYTEE_BC1010_PET,2XL,10x12,10x12,,,,900x600px,3x2,300,inch
BABYTEE_BC1010_PET,3XL,10x12,10x12,,,,900x600px,3x2,300,inch
VNECK_BC3005_PET,XS,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
VNECK_BC3005_PET,S,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
VNECK_BC3005_PET,M,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
VNECK_BC3005_PET,L,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
VNECK_BC3005_PET,XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
VNECK_BC3005_PET,2XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
VNECK_BC3005_PET,3XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
WOMENCROP_BC6681_PET,"XS,S",10x12,10x12,,,,900x600px,3x2,300,inch
WOMENCROP_BC6681_PET,"M,L",10x12,10x12,,,,900x600px,3x2,300,inch
WOMEN_CROPTOP_NL1580_PET,XS,10x12,10x12,,,,900x600px,3x2,300,inch
WOMEN_CROPTOP_NL1580_PET,S,10x12,10x12,,,,900x600px,3x2,300,inch
WOMEN_CROPTOP_NL1580_PET,M,10x12,10x12,,,,900x600px,3x2,300,inch
WOMEN_CROPTOP_NL1580_PET,L,10x12,10x12,,,,900x600px,3x2,300,inch
WOMEN_CROPTOP_NL1580_PET,XL,10x12,10x12,,,,900x600px,3x2,300,inch
WOMEN_CROPTOP_NL1580_PET,2XL,10x12,10x12,,,,900x600px,3x2,300,inch
WOMEN_CROPTOP_NL1580_PET,3XL,10x12,10x12,,,,900x600px,3x2,300,inch
