order_number,external_order_number,created,status,order_item_id,variant_title,color,imported_design,image
RD-39339-84548,577111127723971126,19/09/2025,shipping,68cd27625612d7393ec2c16a,Comfort Color 1717 / CRUNCHBERRY / XL,CRUNCHBERRY,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RR-84947-34687,577111168220828010,19/09/2025,in production,68cd29695612d7ece4c2c555,Comfort Color 1717 / VIOLET / L,VIOLET,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RR-84947-34687,577111168220828010,19/09/2025,in production,68cd29695612d71b4fc2c557,Comfort Color 1717 / SEAFOAM / L,VIOLET,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RR-84947-34687,577111168220828010,19/09/2025,in production,68cd29695612d73aa5c2c559,Comfort Color 1717 / CRUNCHBERRY / M,VIOLET,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RM-23759-94343,577111278940099469,19/09/2025,in production,68cd2cf65612d735a4c2cab1,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RK-96453-63258,577111134648111511,19/09/2025,paid_fulfillment_cost,68cd2fd50d43dac37e2ed296,Comfort Color 1717 / MOSS / 2XL,MOSS,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RW-49483-98435,577111286585332697,19/09/2025,in production,68cd317108e901b6e59f6dcb,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RR-24749-95955,577111283493737429,19/09/2025,paid_fulfillment_cost,68cd31859baeeb5663a32e0d,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RD-92846-96578,577111966037086262,20/09/2025,in production,68cdf9cec3bd7a2103fc137b,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RR-93237-87527,577111953359999902,20/09/2025,in production,68cdf9d1c3bd7a6a4dfc13a2,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
